Annotation Results of RA Expanded Metagenomic Datasets																																																																																											
Species	RAF101	RAF102	RAF106	RAF107	RAF111	RAF112	RAF113	RAF116	RAF117	RAF120	RAF122	RAF123	RAF124	RAF125	RAF126	RAF127	RAF128	RAF129	RAF131	RAF132	RAF135	RAF137	RAF138	RAF139	RAF140	RAF142	RAF143	RAF146	RAF147	RAF149	RAF150	RAF151	RAF153	RAF158	RAF159	RAF160	RAF161	RAF166	RAF167	RAF170	RAF174	RAF177	RAF179	RAF180	RAF184	RAF185	RAF186	RAF187	RAF25	RAF44	RAF58	RAF61	RAF63	RAF68	RAF71	RAF74	RAF75	RAF77	RAF78	RAF79	RAF80	RAF81	RAF84	RAF86	RAF87	RAF88	RAF89	RAF90	RAF92	RAF95	RAF96	RA10	RA11	RA12	RA13	RA14	RA15	RA16	RA17	RA18	RA1	RA2	RA3	RA4	RA5	RA6	RA7	RA8	RA9	RA19	RA20
Firmicutes_bacterium_CAG_321	0.14467	0	0	0.32072	0	0	0	0.82204	0	0	0	0	2.53235	0	0	0	0	0	0	0	0	0	0	3.4693	1.12668	0	0.16911	0	0	0	0.12441	0.0048	0	0.03936	0	0	0	0	0	0	0	0	0.16784	0	0	0.2959	0	0.19346	0	2.33131	0	0	0	0	0	0	0	0	0	0.06031	0	0	0	0	0	0	0	0.00155	0	0	0	0.06411	0	0	0.02025	0.02818	0.36909	0	0	0	0.04803	0	0	0	0	0.37784	0.02078	0.40978	0	0	0
Clostridium_sp_CAG_307	0	0	0	0	0	0	0	0	0.03994	0	0	0	0	0	0	3.09451	0	0	0	0	0	0.03828	0	0	0	0	0	0	0	0	0	0.13852	0	0.03128	0	0	0	0	0	0	0	0	0	0	0	0	0	5.36981	3.78281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HA0435	0	0.01481	0.02543	0.00207	0.13858	0	0	0.0123	0.00042	0.00043	0.22238	0	0.02086	0	0.00342	0.21631	0	0.00145	0.00147	0	0	0.00071	0	0.00206	0	0.03379	0.00038	0	0	0.01567	0.02911	0.21255	0.02903	0	0.02073	0.00199	0.00154	0.00033	0.0477	0.00133	0.0003	0.04554	0.01891	0	0.07168	0	0	0.01288	0	0.0797	0.00036	0	0	0.00922	0.01062	0.02748	0	0	0	0.00138	0	0.00478	0.00808	0.51302	0	0	0.0057	0	0.19881	0	0.00372	0.69309	0.68893	0.06607	0.06892	3.27043	0.05206	0.51765	0.13656	0.03279	0.03285	0.14368	0.44919	0.04677	0.20816	1.13568	0.30723	2.57706	0.03045	0.13381	0.24935
Clostridium_sp_CAG_628	0.02561	0	0	0	0	0	0	0	0	0	0	0	1.0612	3.49244	0	0	0	0	0	0	0	0	0	0	0	0	7.82785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus_mucosae	0	0.00076	0	0	0	0	0	0.11231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03326	0	0	0	0	0	0	0	0.14778	0	0	0.00248	0	0	0	9.82208	0.03201	2.23509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00703	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmiger_formicilis	0.08065	0.03501	0.11557	0.05479	0.02157	0	0.04747	0.22843	0.12776	0.01875	0.04793	0	0.05612	0.36561	0	0.11096	0.01004	0.00357	0.02191	0.00159	0	0.00819	0.00119	0.1749	0.09407	0.40494	0.03446	0.017	0	0.09375	0.10863	0.01314	0.03655	0.35583	0.0543	0.14014	0.14025	0.01403	0.01034	0.04517	0.01157	0	0.01303	0.15691	0	0.00358	0.00245	0.02611	0.06008	0.19024	0.04491	0	0	0.07512	0.0229	0.10301	0.03174	0.01949	0.00883	0.02453	0	0.01384	0.12686	1.9533	0	0	0.0372	0	0	0.01973	0.01322	0.48694	0.24078	0.23319	0.29831	0.32291	0.31678	0.05778	0.04756	0.41654	0.68793	0.26528	0.67387	0.41337	0.30529	0.45692	0.11018	0.50396	0	0.14223	0.13491
Streptococcus_thermophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00672	0	0.0197	0	0	0	0	0	0	0.03067	0	0	0	0	0	0	0	0.37257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14232	0	0	0.01045	0	0	0	0	0	0	0	0	0	0	0.31318	0	0	0	0	0.00346	0	0	0	0	0	0	10.71208	0	0
HA1512	0.08955	0.03324	0.06893	0.01455	0.09343	0	0.01547	0.0487	0.10703	0.00856	0.0243	0.03097	0.06363	0.24814	1.03207	0.0553	0.01301	0.00867	0.063	0.00231	0.00807	0.02834	0.02675	0.06305	0.02078	0.03775	0.0233	0.00659	0.0619	0.08093	0.04043	0.09354	0.02684	0.06474	0.0228	0.03101	0.05378	0.00606	0.02516	0.09387	0.02226	0.00419	0.11238	0.00362	0.00602	0.00801	0.00616	0.0317	0.0775	0.21417	0.023	0.00993	0.03859	0.05795	0.06917	0.2321	0.0168	0.01099	0.00458	0.01248	0.1634	0.01451	0.03244	0.37363	0.00589	0.00323	0.01305	0.00744	0.01157	0.01253	0.16542	0.34237	1.78021	0.25918	0.51096	0.18912	0.13035	0.17199	0.57252	0.14178	0.27245	0.5717	0.48606	0.1898	0.2898	0.49531	0.04497	0.23898	0.22309	0.14063	0.58979
Eubacterium_sp_CAG_274	0.18679	0.32682	0	0	0	0	0	0.10348	0	0	0	0	0	0.00357	0.05437	0	0	0	0	0.08085	0	0.01985	0.10193	0	0	0.02075	0.00914	0	0	0	0	0.00647	0	0	0	0.0346	0	0	0.24407	0	0	0	0	1.45773	0.53465	0.00719	0	0	0	0.09729	0	0	0	0.00152	0	0.18046	0	0.01362	0.01113	0	0	0	0	0.26953	0	0	0	0	6.1659	0.01735	0.05738	0	0	0	0.00297	0	0.32828	0	0	0.78998	0	0	0	0	0.00948	0	0.00502	0.11283	0	0	0
Parasutterella_excrementihominis	0	0	0.02158	0.32464	0.71835	0.0062	0.01817	0	0.05974	0	0.03388	1.16426	0.44401	0	0	0.0242	0	0.08477	0.02232	0.03418	0	0	0	0	0	0	0	0.01083	0	0	0.1423	0	0	0	0.00899	0	0	0	0	2.1753	0	0	0.12362	0	0	0	0	0	0	0.02052	0	0.00324	0	0	0.01069	0.00769	0	0.29984	0.00864	0	0.58506	0	0.01962	0.39656	0	0	0.04318	0.20566	0	0.11753	0.02142	0.0088	0.00451	0.00196	0.10678	0.18295	0	1.22126	0.02022	0.07938	0.362	0	0.44737	0	1.27573	0.18195	0.00932	0.0479	0	0.4504	0
Lactobacillus_salivarius	0	0	0	0	0.24817	0	0	0.36824	0	0	0.01351	0	0	0	0	0	0	0	0.13522	0	0	0	0	0	0.00821	0	0	0	0	0	0.96517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.25585	0.03119	0	0	0	0	0	0.0437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00178	0	0	0
Clostridium_sp_CAG_440	0	0	0	0	0	0	0	0	0.24838	0	0	0	0	4.3766	0	0	0	0	0	0	0	0.02885	0	0	0	0	0	0	0	0	0	0.02937	2.15442	0	0	2.18077	0	0	0	0	0	0	0	0	0	0	0	0.34052	0.2914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05526	0	0	0	0	0.37595	0	0	0	0	0	0	0.03667	0	0	0
Ruminococcus_sp_CAG_579	0.01087	0	0	0	0	0	0	0	0	0.27684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.94815	0	0	0	0	0	0	0.26436	0	0	0	0	0	0	0	0	0.10005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66009	0	0	0.02532	0	0	0	0	0	0	0	0	0	0	2.72257	0	0	0	1.06651	0	0	0	0	0	0	0	0	0	0	0
Enterobacter_cloacae_complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00922	0	0	0	0.14561	0	0	0	0.03354	0	0.00549	0.01546	0.04669	0	0	0	0.22335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48883	0.00832	0.25363	0	3.62168	0.01179	0	0	0	0	0.04767	0	0.04663	0	0.04286	0	0	0	0	0.75981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sutterella_wadsworthensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78875	0	0	0.30384	0	0	0	0	0.09446	0	0.03588	0	0	0	0	0	0	0	0	0	0	0.00037	0	0	0	0	0	1.54077	0	0	0	0	0	0.33747	0	0.01063	0	0	0	0	0	3.93157	0	0.4398	0	0	0	0	0	0	0	0	0	0	0	1.22882	0.00099	0	0.49061	0	0	0	0	0	0	0	0	0	0.00804	0	0	0.00851	0	0	0	0
Klebsiella_quasipneumoniae	0	0	0	0	0	0.00775	0.04829	0	0	0	0	0	0	0	0	0	0.24538	0	2.83018	0	0	0	0	0	0	0	0	0	0.06623	0	0	0	0.14917	0	0	0.41957	0.03772	0	0	0	0.01715	0	0	0	0	0	0.03346	0	0	0	0	0.04173	0.00784	0.11097	0.03051	2.59848	0	0.58545	0	0.00891	0.00635	0	0	0	0	0	0	0.27019	0	0	0	0	0.01666	0.37274	0	0	0	0	0	1.20814	0	0	0	0	0	0	0.07255	0.01267	0	0	0
Proteobacteria_bacterium_CAG_139	0	0	0.51275	0	0	2.66651	0	0	0	0	0.19135	0	0.00424	0	0	0	0	0	0.02213	0	0.13276	0	0	0	0.61034	0	0	0.07584	0	0.00521	0.13835	0	0	0	0	0	0	0	0	0	0	0	0.00459	0	0.07325	0	0	0	0	0.0334	0	0	0	0	0	0.77135	0	0	0	0	0.05022	0	1.51213	0.33802	0	0.01309	0	0	0.68599	0.24904	0	0	0	0.01088	0.08969	0.00516	0	0	0	0	0.94608	0	0	0	0	0.03251	0	0	0.00527	0	0
Ruminococcus_bicirculans	0	0	0.11974	0.00768	0.9095	0	0.11059	1.02312	0.00301	0	0.26024	0	0	0.04745	0	0.00204	0	0	0.02986	0	0	0.00999	0.03276	0	0.00268	0.45562	0	0.02347	0	0	0.05554	0.00915	0.41746	0	0	1.21442	0.00187	0	0	0.19685	0.00266	0	0	0	0	0	0	0	0	0	0.00584	0.00036	0	0.03802	0	0.04217	0.03346	0	0.74855	0.01537	0	0	0	0	0	0	0	0	0	0.20395	0.0384	0	0.00295	0	0	0.78048	0.5485	0.89055	0.04752	0.18587	0.03879	0	0.00497	0.01255	0.05089	0.00311	0.00589	0.08078	0.35136	0	0.77127
Methanobrevibacter_smithii	0.38524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51677	0	0	0	0	0	0	0	0	0	0	0	0.02327	0	0	0.00565	0	0	0	0	0	0	0	0	0.05045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0077	0	0	0.05846	0	0	0	0	0	0	0	2.13694	0	0	0	0	0	0	0.51881	0	3.5941	0	0	0	0	0	0	1.5823	0	0
Prevotella_sp_CAG_617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.71837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intestinibacter_bartlettii	0.00469	0.06435	0.31786	0	0.92447	0	0	0	0.08582	0.16423	0.02646	0.05551	0.4333	0.20577	1.18269	0	0	0.01069	0.08554	0	0	0.02029	0.10325	0.14524	0	0.03543	0.0046	0	0.231	0.0013	0.02403	0	0	0.04325	0	0.01837	0.05159	0	0.12048	0.47813	0	0.03809	0.31095	0.23981	0	0.02848	0.18836	0.04828	0.88014	0.17843	0.03034	0	0.118	0.12129	0	0.12559	0	0	0	0.02351	0.00828	0	0	0.12256	0	0	0	0	0.15105	0	0.20014	0.00908	0.00213	0	0.04908	0.04456	0	0	0.01499	0.05077	0.19301	0.11998	0.04422	0.21809	0.00144	0.01106	0.00416	0.12128	0	0.06189	0
Clostridium_sp_CAG_964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.50657	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscillibacter_sp_CAG_241	0.0774	0	0	0.01535	0	0	0	0.01656	0	0.02204	0	0	0.00745	0	0	0.04605	0	0.03078	0.03201	0	0	0.07796	0	0.01113	0.02776	0.37548	0	0	0	0	0.01805	0.0548	0	0.0229	0.0615	0	0.11558	0	0	0	0.00316	0	0.02439	0	0.00949	0.00055	0	0.00513	0.01492	0.0035	0	0	0	0	0	0	0	0	0	0.0234	0	0	0	0	0	0	0	0.01373	0	0	0	0.01431	0.01692	0.03622	0	0.00969	0.0208	0	0.00033	0.00486	0.00136	0.01227	0	0.00061	0.00187	0.01229	0.00831	0.03863	6.88582	0	0
Roseburia_sp_CAG_100	0.00428	0	0	0	0	0	0	0.59109	0	0	0	0	0	1.46512	0	0	0	0	0	0	0	0.03075	0	0	0	0.0058	0	0	0	0	0.01345	1.03516	0	0.16088	1.93471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00068	0	0	0	0	0	0.09789	0	0	0	0.62189	0	0	0	0	0	0	0	0	1.37502	0	0.38558	0	0	0	0	0	0.21435	0	0	0	0	0	0.00231	0.05438	0	0	0
Alistipes_sp_CAG_514	7.27733	0	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08971	0	0	0.41979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09128	0	0	0	0	0	0	0	0	0
Subdoligranulum_sp_APC924_74	0.32356	0.02122	0.0235	0.04322	0.06694	0	0.00059	0.01111	0.02747	0.01118	0.05448	0	0.04553	0.1082	0	0.25078	0	0.03831	0.03208	0	0	0.00739	0	0.81748	0.06753	0.20792	0.02251	0	0	0	0.00926	0.00052	0.03889	0.01258	0.00919	0.01031	0.0958	0	0	0.01494	0.00344	0	0.02684	0	0	0.00087	0.00659	0.02463	0.04334	0.0349	0.00893	0	0	0.28863	0.00062	0.38206	0	0.01442	0	0	0	0	0.02205	0.95973	0	0	0	0.02242	0	0	0	0.05665	0.15627	0.0049	0.09342	0.0247	0.13916	0.0186	0.05625	0.02227	1.13851	0.20053	0.15152	0.62667	0.52745	0.30665	0.00625	0	0.01691	0.02699	0.03239
Clostridium_sp_CAG_452	0.33085	0	0	0	0	0	0	0	0	0	0	0	0	0.83395	0	0	0	0	0	0	0	0.03621	0	2.85424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.44275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00768	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22112	0	0	0	0	0	0	0	0	0
Ruminococcus_sp_CAG_403	0.13771	0	0	0	0	0	0	0	0	0	0	0	0	0.35023	0	0	0	0	0.03723	0	0	0.35175	0	0	0	0	0.96709	0	0	0	0	1.019	0	0	0	0	0	0	0	0	0	0	0.02404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62669	0	0	0	0	0	0.12993	0	0	0	0	0	0
Blautia_sp	0.00617	0.0063	0.01196	0	0.11466	0	0.00504	0.02296	0	0	0.03335	0	0.00771	0.05668	1.84024	0.04037	0	0.00087	0.03906	0	0	0	0	0	0.00144	0.00715	0	0	0	0.13098	0	0.00398	0	0.00355	0	0	0.00125	0	0.00896	0.01199	0	0	0.17594	0	0	0	0	0.02435	0	0.12292	0	0	0	0.00042	0.01727	0	0	0	0	0	0	0.00279	0.0123	0.16021	0.00342	0	0	0	0	0	0	0.14218	0.20258	0.03177	1.65751	0.1294	0.92037	0.12302	0.03699	0.07353	0.02266	0.13601	0.69615	0.00158	0.02616	0.46544	0.02598	0.03185	0.02846	0.004	0.03197
Tyzzerella_sp	0.18675	0	0	0.67007	0	0	0.01803	0.71909	0	0	0.01353	0	0.36533	0	0	0.04386	0.01258	0	0.04619	0	0	0	0	0	0.39604	0.00282	0	0.03599	0	0.02546	0.10537	0.22994	0	0	0.04847	0.01144	0	0.00225	0	0.05938	0.00853	0.08157	0	0	0.29304	0.00486	0.00733	0	0.06589	0.15897	0	0.19604	0	0.00287	0.08883	0.21606	0	0	0.06928	0	0	0.00369	0.04807	0	0.00829	0.01594	0	0.05237	0.03315	0.75269	0	0.07637	0.06677	0	0.00851	0.44571	0.2447	0.16189	0.84243	0.00199	0	0.02254	0.01986	0	0.167	0.10464	0.27506	0.0567	0	0	0.28192
Firmicutes_bacterium_CAG_313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03601	0	0	0	0	0	0	0	0	7.34291	0	0	0	0	0.02095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Gastranaerophilales_bacterium_HUM_18	0.69899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.55875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium_ventriosum	0.10823	0	0.27989	0.00114	0.06527	0	0.05838	0.02746	0	0	0	0	0.0199	0.34997	0	0.06696	0	0.08877	0.00657	0.00104	0.02445	0	0	0	0.02127	0.01582	0.01062	0	0.04103	0	0	0	0	0	0.00723	0.02111	0.32187	0	0.00899	0	0.00186	1.46182	0.00269	0	0.07028	0.04688	0	0.15497	0.63688	0.01291	0	0.00639	0.8369	0.04103	0.02954	0.0318	0	0	0.04001	0	0.0025	0.10788	0.08748	0.00999	0.02256	0	0.03172	0.13052	0	0.5074	0	0.17218	0.15827	0.09539	0.1097	0.10437	0	0.12214	0	0.08472	0.08088	0.01568	0	0	0.00854	0.00361	0.06037	0.40492	0	0	0.65404
HA1243	0.0288	0	0.06334	0.00201	0.03875	0	0.00153	0.03042	0.05711	0.00394	0	0	0.01855	0.19725	0	0	0	0	0.05425	0.00126	0	0.01236	0	0.0363	0.01688	0.03474	0.00042	0	0	0	0.024	0.01898	0	0.01951	0.0004	0.00421	0.05296	0.00346	0	0	0.00878	0	0.04886	0	0	0.00251	0	0.00702	0.08233	0.0566	0.01181	0.00118	0	0	0.00392	0	0	0	0.00073	0.03263	0	0.00321	0	0	0.00143	0	0	0.00074	0	0.00134	0.00266	0.1145	0.27922	0.00293	0.1194	0.35644	0.00155	0.0982	0.98579	0.1307	0.033	2.76345	0.25133	0.05773	0.07486	0.33638	0.01843	0.12044	0.39792	0	0.57439
Anaerotruncus_sp_CAG_528	4.92455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_sp_CAG_302	0.74955	0	0	0	0	0	0	0.70044	0	0.22068	0	0	0	0.28107	0	0	0.01302	0	0	0	0	0.17442	0	0.00272	0	0	0.44686	0	0	0	0	0.18031	0	0	0	0.12576	0	0	0	0	0	0	2.68953	0	0	0.2289	0	0.18275	0	0	0	0.01324	0	0	0	0	0	0	0	0.00509	0	0.00055	0	0	0.02066	0	0	0.23527	0	0	0	0	0.08078	0	0.016	0.00541	0	0	0.22991	0.01239	0	0	0.01963	0	0	0	0.02066	0.40995	0	0	0
Firmicutes_bacterium_CAG_137	0	0	0	0.00348	0	0	0	0	0.02645	0.24153	0	0	0	0.07962	0	0.0462	0	0	0	0	0	0.06769	0	0.04685	0	0	0.02212	0	0	0	0	0.06036	0	0.01109	0	0	0	0	0	0	0	0	0	0	0.01836	0	0	0	0	0	0	0.02523	0	0	0	0	0	0	0	0	0	0.01323	0	0	0	0	0	0	0	0	0	0.18412	0.7118	0	0.31395	0.01843	0	0	0.19673	0.01214	0.21626	0	4.19055	0	0	0.5252	0	0.02045	0	0	0
Clostridium_sp_CAG_413	4.91854	0	0	0	0	0	0	0	0	0	0	0	0	0.00231	0	0	0	0	0	0	0	1.61418	0	0	0	0	0	0	0	0	0	0.25349	0	0	0	0	0	0	0	0	0	0	0.25918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia_sp_CAG_52	0.0034	0.05885	0	0	0.04648	0	0.07034	0.03366	0	0.05634	0	0	0.04481	0.02515	0	0.47996	0.06736	0	0.0299	0	0	0	0	0	0	0	0.00274	0	0	0.28251	0.03792	0.01611	0	0.0111	0.00491	0.01816	0	0.01686	0	0	0.01309	0.00323	0.03013	0	0.08479	0	0	0	0	0.06705	0	0	0	0	0.09071	0.1142	0	0.08801	0	0.02461	0	0.01965	0.076	0.11028	0	0	0	0	0	0	0	0.55886	1.56422	0.27059	0.14656	0.32587	0	0.12289	0.06152	0.12427	0.27485	0.40207	0.36379	0.04323	0.24469	0.05872	0.01075	0.20922	0.10488	0	0.4544
Ruminococcus_sp_CAG_254	0	0	0.32953	0	0	0	0	0.09142	0	0	0	0	0.07905	0	0	0	0.07918	0	0.03929	0	0	0.02113	0	0	0.01758	0	0	0	0	0	0.77319	0	0	0	0	0	0.29673	0	0	0	0	0	0.12359	0	0	0.22535	0	0.23438	0	0	0	0	0	0	0	0	0	0	0	0.17981	0	0.06385	0	0.47324	0.01094	0	0.17811	0	0	0	0	0	0	0.00795	0.01861	0.5398	2.71629	0	0	0.33713	0	0.01008	0	0	0.00519	0	0	0.02105	0	0	0
Clostridium_sp_CAG_226	0.02923	0	0	0	0	0	0	0	0	2.54188	0	0	0	0.06094	0	0	0	0	1.9265	0	0	0.01273	0	0	0	0	0	0	0	0	0	0.8198	0	0.06135	0	0	0	0	0	0	0	0	0.20484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06025	0	0	0	0	0	0	0	0	0	0	0	0.03669	0.67152	0	0.04563	0.0975	0	0	0	0	0.14311	0	0	0	0	0.03309	0	0	0	0	0
Mesosutterella_multiformis	0	0	0.04293	0	0	0	0	0	0.00666	0	0	0	0	0.01957	0	0	0	0	0.27347	0	0	0	1.30663	0	1.0507	0	0.1656	0	0	0.03103	0	0	0	0	0	0	0	0	1.25829	0	0	0	0	0	0	0	0	0	0	0.01303	0	0	0	0.00108	0.02486	0.0128	0	0	0	0	0.73877	0	0	0	0	0	0	0	0	0.00657	0.41638	0	0	0	0	1.16377	0	0	0	0.03766	0	0	0	0	0.11121	0	0	0	0.0056	0	0
Asaccharobacter_celatus	0	0.03569	0.63504	0	0	0	0	0	0	0	0	0	0.03764	0	0	0	0	0	0.07199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02999	0	0.15826	0	0.02695	0.08762	0	0.00695	0	0.27373	0	0	0	0.59505	0.0589	0.35027	0	0	0	0	0	0	0	1.33908	0	0	0	0	0	0	0.19593	0.4465	0.17886	0.00389	0.05669	0.19556	0	0.06062	0.13983	0.01389	0.32708	0.04178	0.01162	0.04769	0.20091	0.34879	0.09598	0.32057	0.28247	0	0.11381
Clostridium_sp_AM22_11AC	0.22627	0.18636	0.36874	0.02021	0.06483	0.04814	0.075	0.01601	0.00193	0	0.19672	0.03876	0.00097	0.05637	0	0.14579	0.01246	0	0.00869	0.01123	0.0982	0	0.014	0	0.01902	0.03067	0.06787	0	0	0.11355	0.04396	0	0.04086	0	0.04172	0.01305	0.06653	0	0.0947	0	0	0.00763	0.0165	0	0.02118	0.0041	0	0	0.2634	0	0	0	0	0.15436	0.03594	0.39766	0	0.17288	0.06866	0	0.65509	0.01462	0.11224	0.18572	0	0	0	0.08987	0.11614	0.0156	0.21943	0.00299	0.04947	0.0426	0.12751	0.03404	0.34106	0.98746	0.16511	0.06532	0.02449	0	0.00485	0.00349	0.05974	0.01378	0.00106	0.00021	0	0.0002	1.9117
Ruminococcaceae_bacterium_KLE1738	0	0	0.07651	0	0	0	0.02518	0.00943	0	0.02236	0	0	0.15914	0	0	0	0	0	0.00232	0	0	0	0	0	0	0.00157	0	0	0.08374	0	0.10472	0	0.00058	0	0	0	0.0287	0.06736	0	0.18237	0.01153	0	0.3073	0	0.11945	0	0	0	0	0.35099	0	0	0	0.16952	0.15198	0	0.00951	0	0	0	0	0	0	0.05432	0	0	0	0.00273	0	0.05213	0.34749	0.55845	0	0.0343	0	0.52889	0	0	0	0	0.30787	0.53097	0.93036	0	0.26661	0.33673	0.20156	0.40856	0	0.24185	0
Prevotella_sp_CAG_386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37585	0	0	0	0	0	0	0	0	1.89481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04018	0	0	0	0	0	0	0	0	0
Clostridium_sp_CAG_510	0.51577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.87829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81898	0	0	0	0.06718	0	0	0	0	0	0	0	0	0	0	0
Veillonella_parvula	0	0	0.01466	0	0.01949	0.00384	0.48628	0.00632	0.00699	0	0.17937	0.08361	0.00457	0.0605	0.00292	0	0	0	0.00213	0	0	0	0.00964	0	0	0	0	0	0	0.02576	0.16318	0	0	0	0	0	0.01724	0	0.159	0.49577	0.007	0.12893	0	0.11244	0.02822	0	1.13069	0.02809	0.1372	0	0.00156	0.25015	0	0.18413	0.05093	0.01574	0.0107	0.40673	0.06053	0	1.52004	0	0.0827	0	0	0.08572	0	0	0.02355	0.06421	0.01866	0	0.00554	0.13987	0	0	0	0.00208	0	0	0.00387	0	0	0	0	0	0	0.00692	0	0.0099	0
